Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0014.2.JASPAR	13.458053	0.747670	18	1.669000	1.760000	1.232000	1.762000
PAX5_f1.HOCOMOCO	10.661929	0.592329	18	1.672000	1.745000	1.227000	1.745000
PAX5_si.HOCOMOCO	9.364208	1.337744	7	1.214000	1.104000	1.246000	1.103000
PAX5_1.HOMER	12.623793	0.841586	15	1.578000	1.698000	1.234000	1.699000
PAX5_2.HOMER	13.317933	1.024456	13	1.279000	1.330000	1.217000	1.330000
PAX5_disc1.POUR	11.304981	0.628055	18	1.654000	1.723000	1.231000	1.724000
PAX5_disc2.POUR	10.805666	1.200630	9	1.386000	1.480000	1.230000	1.479000
PAX5_disc3.POUR	11.417550	1.268617	9	0.988000	1.063000	0.764000	1.063000
PAX5_disc4.POUR	11.800456	1.311162	9	1.026000	1.160000	1.218000	1.160000
PAX5_disc5.POUR	9.671598	1.074622	9	1.364000	1.251000	1.224000	1.251000
PAX5_DBD.JOLMA	14.115275	0.830310	17	1.653000	1.742000	1.207000	1.741000
Pax5_1.3DFOOTPRINT	11.308006	0.753867	15	1.041000	1.082000	1.228000	1.085000
Pax5_2.3DFOOTPRINT	12.972719	0.720707	18	1.085000	1.017000	1.232000	1.013000
PAX5_3.3DFOOTPRINT	15.280611	0.848923	18	1.103000	1.090000	1.235000	1.082000
PAX5_1.GUERTIN	26.502269	1.394856	19	1.356000	1.125000	1.236000	1.118000
PAX5_2.GUERTIN	18.584007	0.978106	19	1.184000	1.088000	1.248000	1.073000
PAX5_3.GUERTIN	17.992703	1.199514	15	1.222000	1.114000	1.254000	1.103000
PAX5_4.GUERTIN	23.377510	1.230395	19	0.855000	0.978000	0.793000	0.991000
PAX5.1_1.ZLAB	10.680445	0.712030	15	1.665000	1.736000	1.221000	1.736000
PAX5.1_2.ZLAB	14.874117	1.062437	14	1.019000	1.069000	1.077000	1.070000
PAX5.1_3.ZLAB	10.772889	0.538644	20	0.887000	0.870000	0.761000	0.873000
PAX5.1_4.ZLAB	23.919760	1.328876	18	1.013000	1.067000	1.218000	1.051000
PAX5.1_5.ZLAB	22.298200	0.796364	28	0.892000	0.962000	0.759000	0.978000
Pax5.TF2DNA	7.711651	0.963956	8	0.961000	0.924000	1.062000	0.925000
PAX5.SWISSREGULON	14.110860	0.742677	19	1.442000	1.384000	1.187000	1.384000
M4471_1.02.CIS-BP	11.380111	0.812865	14	1.626000	1.723000	1.236000	1.723000
